--- 15MMapInputStreamILm128EjE read/write test ---
Elements: 268435456
 
n               k       Trials  Min    [s]      Lower  [s]      Median [s]      Upper  [s]      Max [s]
      4194304   64      3       70.198000       70.198000       70.262000       70.262000       72.686000      
     2097152    128     3       63.954000       63.954000       66.762000       66.762000       69.801000      
     1048576    256     3       56.744000       56.744000       58.150000       58.150000       58.620000      
      524288    512     3       55.465000       55.465000       55.894000       55.894000       60.224000      
 
--- 20BufferedOutputStreamILm512EjE read/write test ---
Elements: 268435456
 
n               k       Trials  Min    [s]      Lower  [s]      Median [s]      Upper  [s]      Max [s]
     268435456  1       3       66.676000       66.676000       67.265000       67.265000       67.589000      
     134217728  2       3       77.073000       77.073000       77.531000       77.531000       77.998000      
      67108864  4       3       89.141000       89.141000       91.126000       91.126000       93.550000      
      33554432  8       3       116.607000      116.607000      119.003000      119.003000      120.838000     
     16777216   16      3       556.171000      556.171000      809.522000      809.522000      836.150000

 
--- 15MMapInputStreamILm67108864EjE read/write test ---
Elements: 268435456
 
n               k       Trials  Min    [s]      Lower  [s]      Median [s]      Upper  [s]      Max [s]
     268435456  1       3       15.801000       15.801000       15.823000       15.823000       18.347000      
     134217728  2       3       54.184000       54.184000       56.205000       56.205000       58.207000      
      67108864  4       3       58.664000       58.664000       59.533000       59.533000       61.776000      
      33554432  8       3       58.099000       58.099000       59.707000       59.707000       62.272000      
     16777216   16      3       77.218000       77.218000       78.408000       78.408000       81.361000      
      8388608   32      3       74.644000       74.644000       75.381000       75.381000       75.579000      
      4194304   64      3       64.997000       64.997000       67.119000       67.119000       68.058000      
     2097152    128     3       59.526000       59.526000       60.356000       60.356000       60.747000      
     1048576    256     3       59.377000       59.377000       59.712000       59.712000       65.026000      
      524288    512     3       47.738000       47.738000       50.370000       50.370000       52.198000      
 
--- 16MMapOutputStreamILm67108864EjE read/write test ---
Elements: 268435456
 
n               k       Trials  Min    [s]      Lower  [s]      Median [s]      Upper  [s]      Max [s]
     268435456  1       3       33.320000       33.320000       33.388000       33.388000       33.705000      
     134217728  2       3       70.799000       70.799000       71.343000       71.343000       71.522000      
      67108864  4       3       77.710000       77.710000       77.923000       77.923000       79.102000      
      33554432  8       3       77.318000       77.318000       78.550000       78.550000       80.192000      
     16777216   16      3       102.138000      102.138000      103.398000      103.398000      103.483000     
      8388608   32      3       104.265000      104.265000      106.873000      106.873000      107.183000     
      4194304   64      3       99.451000       99.451000       101.985000      101.985000      103.396000     
     2097152    128     3       102.896000      102.896000      103.396000      103.396000      106.396000     
     1048576    256     3       124.798000      124.798000      124.875000      124.875000      132.925000     
      524288    512     3       137.080000      137.080000      145.787000      145.787000      153.733000     
 
--- 19BufferedInputStreamILm67108864EjE read/write test ---
Elements: 268435456
 
n               k       Trials  Min    [s]      Lower  [s]      Median [s]      Upper  [s]      Max [s]
     268435456  1       3       17.054000       17.054000       17.126000       17.126000       18.482000      
     134217728  2       3       17.917000       17.917000       26.195000       26.195000       35.802000      
      67108864  4       3       280.442000      280.442000      360.132000      360.132000      367.214000
killed


--- 15ReadInputStreamIjE read/write test ---
Elements: 268435456

n               k       Trials  Min    [s]      Lower  [s]      Median [s]      Upper  [s]      Max [s]
